symbol,date,price_mult,source
VISESHINFO,2015-11-06,0.5,heuristic
VISESHINFO,2015-11-09,2.0,heuristic
VISESHINFO,2015-11-11,0.5,heuristic
BIRLACOT,2015-11-13,2.0,heuristic
VISESHINFO,2015-11-13,2.0,heuristic
BIRLACOT,2015-11-16,0.5,heuristic
VISESHINFO,2015-11-18,0.5,heuristic
VISESHINFO,2015-11-19,2.0,heuristic
BIRLACOT,2015-11-20,2.0,heuristic
BIRLACOT,2015-11-23,0.5,heuristic
BIRLACOT,2015-11-24,2.0,heuristic
AVANTIFEED,2015-11-26,0.2,heuristic
BIRLACOT,2015-11-27,0.5,heuristic
VKSPL,2015-11-27,0.5,heuristic
VKSPL,2015-11-30,2.0,heuristic
JAMNAAUTO,2015-12-03,0.5,heuristic
JKIL,2015-12-10,0.5,heuristic
ECLERX,2015-12-17,0.777778,yfinance
MARICO,2015-12-22,0.5,yfinance
VISESHINFO,2015-12-22,0.5,heuristic
VISESHINFO,2015-12-23,2.0,heuristic
GREENPLY,2016-01-06,0.2,heuristic
VKSPL,2016-02-26,0.5,heuristic
VKSPL,2016-03-01,2.0,heuristic
VISESHINFO,2016-03-10,0.5,heuristic
VISESHINFO,2016-03-11,2.0,heuristic
RAMASTEEL,2016-03-14,0.1,heuristic
PRECWIRE,2016-03-21,0.5,heuristic
VISESHINFO,2016-03-23,0.5,heuristic
VISESHINFO,2016-03-28,2.0,heuristic
VISESHINFO,2016-03-29,0.5,heuristic
VISESHINFO,2016-03-30,2.0,heuristic
VKSPL,2016-03-31,2.0,heuristic
VISESHINFO,2016-04-04,0.5,heuristic
VISESHINFO,2016-04-05,2.0,heuristic
VISESHINFO,2016-04-06,0.5,heuristic
VISESHINFO,2016-04-07,2.0,heuristic
VISESHINFO,2016-04-20,0.5,heuristic
VISESHINFO,2016-04-21,2.0,heuristic
VKSPL,2016-04-25,2.0,heuristic
VISESHINFO,2016-04-26,0.5,heuristic
VISESHINFO,2016-04-27,2.0,heuristic
VKSPL,2016-04-27,0.5,heuristic
DISHMAN,2016-05-02,0.5,heuristic
VKSPL,2016-05-02,2.0,heuristic
VISESHINFO,2016-05-03,0.5,heuristic
