Date,nifty500,nifty50,nifty100,nifty_midcap
2022-09-08,15440.6796875,17798.75,18168.849609375,31923.05078125
2022-09-09,15467.3798828125,17833.349609375,18198.099609375,32035.900390625
2022-09-12,15577.3798828125,17936.349609375,18319.80078125,32345.44921875
2022-09-13,15669.8291015625,18070.05078125,18453.69921875,32398.75
2022-09-14,15630.6796875,18003.75,18405.599609375,32291.75
2022-09-15,15580.3291015625,17877.400390625,18316.900390625,32415.69921875
2022-09-16,15243.9306640625,17530.849609375,17938.099609375,31494.900390625
2022-09-19,15293.529296875,17622.25,18025.25,31504.400390625
2022-09-20,15470.3291015625,17816.25,18222.099609375,31955.5
2022-09-21,15361.2294921875,17718.349609375,18091.900390625,31718.69921875
2022-09-22,15335.279296875,17629.80078125,18030.400390625,31826.099609375
2022-09-23,15057.630859375,17327.349609375,17718.44921875,31078.69921875
2022-09-26,14725.6806640625,17016.30078125,17374.80078125,30111.80078125
2022-09-27,14727.2802734375,17007.400390625,17366.400390625,30160.69921875
2022-09-28,14620.580078125,16858.599609375,17219.55078125,30066.150390625
2022-09-29,14602.48046875,16818.099609375,17167.75,30185.650390625
2022-09-30,14829.330078125,17094.349609375,17438.599609375,30668.30078125
2022-10-03,14638.48046875,16887.349609375,17190.900390625,30284.650390625
2022-10-04,14965.7802734375,17274.30078125,17589.30078125,31090.599609375
2022-10-06,15053.0302734375,17331.80078125,17662.80078125,31482.69921875
2022-10-07,15036.6806640625,17314.650390625,17641.44921875,31406.80078125
2022-10-10,14951.630859375,17241.0,17553.150390625,31109.349609375
2022-10-11,14721.880859375,16983.55078125,17285.849609375,30567.69921875
2022-10-12,14829.9306640625,17123.599609375,17423.400390625,30756.55078125
2022-10-13,14730.2802734375,17014.349609375,17302.150390625,30544.69921875
2022-10-14,14815.080078125,17185.69921875,17432.55078125,30524.44921875
2022-10-17,14906.130859375,17311.80078125,17560.5,30572.650390625
2022-10-18,15056.5302734375,17486.94921875,17741.19921875,30908.0
2022-10-19,15068.580078125,17512.25,17756.25,30984.44921875
2022-10-20,15112.080078125,17563.94921875,17829.44921875,30901.349609375
2022-10-21,15081.080078125,17576.30078125,17808.80078125,30691.849609375
2022-10-24,15198.73046875,17730.75,17951.30078125,30845.19921875
2022-10-25,15158.080078125,17656.349609375,17887.400390625,30982.69921875
2022-10-27,15244.23046875,17736.94921875,17989.0,31172.349609375
2022-10-28,15241.580078125,17786.80078125,18017.19921875,31003.25
2022-10-31,15423.9794921875,18012.19921875,18243.400390625,31432.30078125
2022-11-01,15537.3798828125,18145.400390625,18383.19921875,31705.5
2022-11-02,15497.529296875,18082.849609375,18322.400390625,31680.0
