date,ticker,action,shares,price,value,cost
2024-09-30,COCHINSHIP,BUY(replacement),66,1720.0594482421875,113523.92358398438,134.3555635616455
2024-09-30,HUDCO,BUY(replacement),494,231.6524200439453,114436.29550170898,135.43535572627258
2024-10-01,HUDCO,SELL(100DMA),494,226.0383453369141,111662.94259643556,115.40365117341616
2024-10-01,COCHINSHIP,SELL(100DMA),66,1685.6158447265625,111250.64575195312,114.97754238464356
2024-10-01,GODFRYPHLP,BUY(replacement),50,2234.781494140625,111739.07470703125,132.24319491577148
2024-10-01,COCHINSHIP,BUY(replacement),67,1685.6158447265625,112936.26159667969,133.66006559967042
2024-10-01,MAZDOCK,SELL(rotation),60,2072.240234375,124334.4140625,128.49961693359376
2024-10-01,OIL,BUY,29,540.4476928710938,15672.983093261719,18.548975490875243
2024-10-01,TRENT,BUY,14,7606.11083984375,106485.5517578125,126.02565050537109
2024-10-01,KALYANKJIL,BUY,151,747.9613037109375,112942.15686035156,133.66704264422606
2024-10-03,OIL,SELL(100DMA),209,511.988037109375,107005.49975585938,110.59018399768067
2024-10-03,COCHINSHIP,SELL(100DMA),67,1651.221435546875,110631.83618164062,114.33800269372558
2024-10-03,OIL,BUY(replacement),214,511.988037109375,109565.43994140625,129.6706981706543
2024-10-03,COCHINSHIP,BUY(replacement),66,1651.221435546875,108980.61474609375,128.97855755200194
2024-10-04,COCHINSHIP,SELL(100DMA),66,1626.3153076171875,107336.81030273438,110.93259344787597
2024-10-04,COCHINSHIP,BUY(replacement),67,1626.3153076171875,108963.12561035156,128.95785915985107
2024-10-07,RVNL,SELL(100DMA),209,447.94476318359375,93620.4555053711,96.75674076480102
2024-10-07,OIL,SELL(100DMA),214,520.112548828125,111304.08544921875,115.03277231176757
2024-10-07,COCHINSHIP,SELL(100DMA),67,1550.7071533203125,103897.37927246094,107.37794147808837
2024-10-07,RVNL,BUY(replacement),237,447.94476318359375,106162.90887451172,125.64380265298462
2024-10-07,OIL,BUY(replacement),204,520.112548828125,106102.9599609375,125.57285311376953
2024-10-08,RVNL,SELL(100DMA),237,483.0008544921875,114471.20251464844,118.30598779888916
2024-10-08,RVNL,BUY(replacement),229,483.0008544921875,110607.19567871094,130.90361608575438
2024-10-09,RVNL,SELL(100DMA),229,476.8524169921875,109199.20349121094,112.8573768081665
2024-10-09,RVNL,BUY(replacement),235,476.8524169921875,112060.31799316406,132.62338634490968
2024-10-10,RVNL,SELL(100DMA),235,476.5548706054688,111990.39459228517,115.74207281112672
