top_n,max_per_sector,exit_rank_buffer,dma_exit,regime_dma,min_price,min_avg_value_cr,exit_cutoff,cagr_pct,sharpe,sortino,max_dd_pct,calmar,win_rate,trades,composite
7,2,8,150,150,0,0,15,32.22,1.344,2.069,-18.92,1.703,49.5,889,2.2884
10,3,18,150,150,0,0,28,32.32,1.413,2.112,-19.96,1.619,51.6,1211,2.2873
15,3,18,150,150,50,0,33,30.67,1.444,2.108,-19.37,1.583,53.8,1893,2.2869
15,3,8,250,150,50,0,23,30.43,1.431,2.073,-19.05,1.597,51.6,1966,2.2857
7,2,18,250,150,50,0,25,30.09,1.287,1.968,-16.95,1.775,52.7,801,2.2856
12,2,13,150,150,100,0,25,27.93,1.34,1.956,-16.38,1.705,56.0,1579,2.2856
8,2,23,150,200,0,0,31,30.73,1.245,1.809,-16.77,1.832,49.5,832,2.2814
10,4,18,200,150,0,0,28,32.18,1.403,2.096,-19.79,1.626,51.6,1161,2.2812
7,3,18,200,150,0,0,25,31.39,1.296,2.004,-17.85,1.759,52.7,822,2.2802
15,2,23,250,150,50,0,38,30.24,1.447,2.113,-19.2,1.575,52.7,1791,2.279
15,2,23,150,150,50,0,38,30.21,1.43,2.087,-18.95,1.594,51.6,1980,2.2781
15,3,23,200,150,0,0,38,31.9,1.461,2.102,-20.47,1.558,54.9,1721,2.2773
15,2,13,150,200,0,0,28,32.61,1.431,1.968,-20.49,1.591,50.5,1987,2.2769
10,4,23,250,150,0,0,33,31.92,1.399,2.09,-19.62,1.627,51.6,1140,2.2766
7,2,13,150,150,0,0,20,32.63,1.349,2.098,-19.33,1.688,50.5,851,2.2765
12,2,23,150,150,100,0,35,27.93,1.339,1.954,-16.45,1.698,54.9,1511,2.2734
15,2,8,250,200,0,0,23,31.92,1.391,1.927,-19.56,1.632,51.6,2050,2.2705
15,2,23,150,200,0,0,38,31.57,1.385,1.897,-19.27,1.638,50.5,1791,2.2694
15,3,8,200,150,0,0,23,32.4,1.477,2.181,-21.09,1.536,53.8,2001,2.2689
12,2,18,150,150,100,0,30,27.82,1.33,1.937,-16.34,1.703,54.9,1543,2.2651
10,2,18,150,200,0,0,28,31.34,1.301,1.851,-18.01,1.74,47.3,1065,2.2642
12,2,23,200,200,100,0,35,27.26,1.234,1.683,-14.9,1.83,48.4,1183,2.2575
12,2,8,200,150,100,0,20,27.7,1.321,1.919,-16.22,1.708,56.0,1629,2.257
15,2,8,150,150,0,0,23,32.11,1.479,2.193,-21.05,1.526,51.6,2561,2.2558
15,2,18,200,150,50,0,33,30.12,1.433,2.069,-19.14,1.574,53.8,1870,2.2554
12,2,8,100,150,0,0,20,32.67,1.451,2.164,-21.03,1.553,50.5,2607,2.2536
8,3,18,250,150,50,0,26,29.33,1.287,1.945,-16.76,1.75,50.5,912,2.253
15,3,8,200,150,50,0,23,30.15,1.419,2.061,-19.01,1.586,51.6,1966,2.2507
8,3,13,150,150,0,0,21,31.97,1.347,2.083,-19.15,1.669,49.5,972,2.2483
7,2,13,250,150,0,0,20,32.24,1.335,2.068,-19.15,1.684,51.6,829,2.2477
15,2,18,250,200,0,0,33,31.11,1.364,1.863,-18.91,1.646,49.5,1602,2.245
7,4,8,150,150,0,0,15,31.31,1.315,2.035,-18.37,1.704,49.5,880,2.2415
12,3,18,150,150,100,0,30,27.74,1.306,1.913,-16.17,1.715,52.7,1516,2.2402
15,3,18,200,150,50,0,33,30.58,1.44,2.094,-19.65,1.556,53.8,1727,2.2398
12,2,18,150,200,100,0,30,26.94,1.214,1.654,-14.6,1.845,48.4,1360,2.2395
8,3,18,200,150,0,0,26,32.21,1.367,2.101,-19.67,1.638,50.5,929,2.2394
12,2,23,200,150,100,0,35,27.83,1.333,1.94,-16.56,1.68,54.9,1420,2.2391
15,2,23,250,200,0,0,38,30.6,1.339,1.822,-18.31,1.671,49.5,1530,2.2379
12,2,8,250,150,100,0,20,28.06,1.329,1.955,-16.66,1.684,54.9,1596,2.2378
15,2,18,250,150,50,0,33,30.25,1.446,2.089,-19.54,1.548,53.8,1855,2.2373
10,3,13,150,150,0,0,23,32.35,1.406,2.109,-20.36,1.589,51.6,1254,2.2351
10,4,13,150,150,0,0,23,32.29,1.401,2.095,-20.25,1.594,51.6,1250,2.2345
15,3,18,150,150,100,0,33,26.92,1.297,1.896,-15.64,1.721,52.7,1946,2.2329
8,4,13,250,150,0,0,21,32.33,1.362,2.083,-19.73,1.638,50.5,939,2.2321
12,2,18,150,200,0,0,30,31.82,1.346,1.862,-19.2,1.657,50.5,1360,2.2305
10,4,13,250,150,0,0,23,32.22,1.405,2.101,-20.3,1.587,51.6,1173,2.2303
15,4,18,200,150,100,0,33,27.58,1.349,1.984,-16.7,1.651,52.7,1734,2.2275
8,3,8,150,150,0,0,16,32.48,1.368,2.12,-19.96,1.627,49.5,1008,2.2263
15,3,23,200,150,50,0,38,30.72,1.455,2.117,-20.09,1.529,52.7,1704,2.2256
12,3,13,150,150,0,0,25,32.37,1.441,2.144,-20.97,1.544,53.8,1543,2.2242
15,4,13,150,150,100,0,28,27.64,1.345,1.976,-16.75,1.65,52.7,1969,2.2191
8,2,23,200,200,0,0,31,30.76,1.249,1.807,-17.32,1.776,49.5,780,2.2178
12,4,18,200,150,0,0,30,32.06,1.415,2.116,-20.46,1.567,54.9,1373,2.2174
15,3,8,150,150,0,0,23,32.28,1.463,2.16,-21.35,1.512,53.8,2105,2.2124
10,2,8,100,150,0,0,18,31.28,1.374,2.065,-19.44,1.609,51.6,1991,2.2105
10,4,23,150,150,0,0,33,32.05,1.396,2.089,-20.23,1.584,51.6,1198,2.2101
15,3,13,150,200,0,0,28,32.9,1.411,1.932,-21.01,1.566,50.5,1784,2.2091
7,2,18,150,200,0,0,25,31.34,1.233,1.816,-17.49,1.792,45.1,737,2.2089
12,4,13,200,150,0,0,25,31.85,1.404,2.094,-20.28,1.571,54.9,1420,2.2064
15,2,8,200,200,0,0,23,32.29,1.4,1.929,-20.49,1.576,49.5,2079,2.2062
